finding_group,item,value,unit,dataset,year,sample_size,outcome,analysis,verification_status,notes
Family history,No family history,33.0,percent,NHANES,2017–2018,"4,946 adults",HbA1c greater than or equal to 5.7%,Prevalence comparison,Needs review,
Family history,Family history of diabetes,50.1,percent,NHANES,2017–2018,"4,946 adults",HbA1c greater than or equal to 5.7%,Prevalence comparison,Needs review,
Risk score groups,Low score 0–1,7.3,percent,NHANES,2017–2018,"4,795 adults",HbA1c greater than or equal to 5.7%,"Additive lifestyle, family-history, and demographic score",Needs review,Reported AUC: 0.71
Risk score groups,Score 2–3,27.1,percent,NHANES,2017–2018,"4,795 adults",HbA1c greater than or equal to 5.7%,"Additive lifestyle, family-history, and demographic score",Needs review,Reported AUC: 0.71
Risk score groups,Score 4–5,48.2,percent,NHANES,2017–2018,"4,795 adults",HbA1c greater than or equal to 5.7%,"Additive lifestyle, family-history, and demographic score",Needs review,Reported AUC: 0.71
Risk score groups,High score 6+,68.3,percent,NHANES,2017–2018,"4,795 adults",HbA1c greater than or equal to 5.7%,"Additive lifestyle, family-history, and demographic score",Needs review,Reported AUC: 0.71
Adjusted risk drivers,Older age,2.67,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Family history of diabetes,2.0,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Higher BMI,1.63,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Higher resting heart rate,1.2,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Higher blood pressure,1.12,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,More sleep,0.88,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Vigorous activity,0.81,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Adjusted risk drivers,Being female,0.68,adjusted odds ratio,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Mutually adjusted logistic regression,Needs review,Reported full-model AUC: 0.78
Model comparison,Simple risk score AUC,0.71,AUC,NHANES,2017–2018,"4,795 adults",HbA1c greater than or equal to 5.7%,Model discrimination comparison,Needs review,
Model comparison,Full KPI model AUC,0.78,AUC,NHANES,2017–2018,"3,892 adults",HbA1c greater than or equal to 5.7%,Model discrimination comparison,Needs review,
County diabetes prevalence,"Greene, Alabama",27.1,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,High-prevalence county
County diabetes prevalence,"Sharkey, Mississippi",25.2,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,High-prevalence county
County diabetes prevalence,"Tensas, Louisiana",25.1,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,High-prevalence county
County diabetes prevalence,US median county,13.3,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,US median
County diabetes prevalence,"Douglas, Colorado",6.8,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,Low-prevalence county
County diabetes prevalence,"Madison, Idaho",4.9,percent,CDC PLACES,2025,"2,956 US counties",Estimated diagnosed diabetes prevalence,County-level prevalence comparison,Needs review,Low-prevalence county
County correlations,High blood pressure,0.89,Pearson correlation coefficient,CDC PLACES,2025,"2,956 US counties",Diagnosed diabetes prevalence,County-level correlation with diagnosed diabetes prevalence,Needs review,
County correlations,Physical inactivity,0.85,Pearson correlation coefficient,CDC PLACES,2025,"2,956 US counties",Diagnosed diabetes prevalence,County-level correlation with diagnosed diabetes prevalence,Needs review,
County correlations,Current smoking,0.71,Pearson correlation coefficient,CDC PLACES,2025,"2,956 US counties",Diagnosed diabetes prevalence,County-level correlation with diagnosed diabetes prevalence,Needs review,
County correlations,Obesity,0.67,Pearson correlation coefficient,CDC PLACES,2025,"2,956 US counties",Diagnosed diabetes prevalence,County-level correlation with diagnosed diabetes prevalence,Needs review,
