nutrient,group,OR_diabetes,OR_hypertension,OR_cholesterol,p_diabetes,p_hypertension,p_cholesterol
Meals not home-prepared,behaviour,1.001,1.032,0.997,0.9855,0.3143,0.9481
Fast-food meals,behaviour,1.091,1.119,0.945,0.0122,0.0013,0.3526
Ready-to-eat meals,behaviour,0.943,1.038,1.053,0.0595,0.2182,0.2041
Calories,macro,1.041,1.092,0.975,0.2321,0.0082,0.6338
Protein,macro,1.051,1.041,1.06,0.1418,0.2249,0.2506
Carbohydrate,macro,1.031,1.083,0.925,0.3532,0.0141,0.1404
Sugar,macro,0.997,1.071,0.954,0.9206,0.0301,0.3663
Fibre,macro,1.024,0.953,0.995,0.4513,0.1299,0.926
Total fat,macro,1.1,1.051,0.982,0.0036,0.1207,0.7241
Saturated fat,macro,1.066,1.057,0.982,0.0519,0.0858,0.7261
Dietary cholesterol,macro,1.055,1.051,1.042,0.0984,0.1145,0.3965
Sodium,macro,1.098,1.084,0.947,0.0053,0.0142,0.3068
Potassium,macro,0.957,0.942,1.05,0.1777,0.0665,0.3221
