locationid,stateabbr,locationname,totalpopulation,High blood pressure,Current smoking,Diabetes,Physical inactivity,Obesity
01001,AL,Autauga,60342,42.0,14.5,13.3,27.0,39.8
01003,AL,Baldwin,253507,43.8,13.0,13.4,25.4,35.2
01005,AL,Barbour,24585,50.2,20.2,19.6,36.2,46.8
01007,AL,Bibb,21868,46.3,19.7,16.2,33.3,43.9
01009,AL,Blount,59816,41.2,16.6,13.8,29.1,36.1
01011,AL,Bullock,9897,56.6,24.7,24.6,44.2,51.3
01013,AL,Butler,18382,51.0,18.3,18.9,37.1,40.4
01015,AL,Calhoun,116429,44.8,16.3,14.8,31.9,38.6
01017,AL,Chambers,34079,48.7,17.7,17.9,34.3,41.5
01019,AL,Cherokee,25666,45.9,17.5,16.0,31.4,39.5
01021,AL,Chilton,46431,43.1,16.9,14.1,31.1,40.0
01023,AL,Choctaw,12252,52.7,18.2,20.1,36.4,44.4
01025,AL,Clarke,22337,49.5,17.7,18.4,34.4,43.9
01027,AL,Clay,14111,47.6,18.2,16.5,32.7,42.5
01029,AL,Cleburne,15639,42.9,17.8,14.6,30.5,37.4
01031,AL,Coffee,55643,43.5,16.6,14.8,29.9,41.0
01033,AL,Colbert,58361,44.3,16.2,15.0,28.6,37.5
01035,AL,Conecuh,11174,54.7,20.5,22.1,39.4,46.4
01037,AL,Coosa,10268,50.2,17.8,18.6,33.5,41.9
01039,AL,Covington,37952,46.4,17.6,16.3,31.9,37.9
01041,AL,Crenshaw,13101,46.6,18.1,16.6,32.6,40.5
01043,AL,Cullman,92016,42.3,16.6,13.4,27.3,36.4
01045,AL,Dale,49871,44.3,17.5,15.8,31.7,41.3
01047,AL,Dallas,36165,55.2,19.5,22.4,38.0,46.3
01049,AL,DeKalb,72569,44.5,19.6,15.7,33.8,38.6
01051,AL,Elmore,90441,41.6,15.1,13.0,26.2,38.9
01053,AL,Escambia,36558,48.6,21.2,18.5,35.7,43.9
01055,AL,Etowah,103241,46.3,17.8,16.3,33.3,43.8
01057,AL,Fayette,15967,47.6,18.7,16.6,32.7,40.6
01059,AL,Franklin,31802,44.4,19.2,16.4,33.9,42.2
01061,AL,Geneva,26988,45.5,19.4,16.4,32.0,42.3
01063,AL,Greene,7341,59.8,22.3,27.1,44.7,52.7
01065,AL,Hale,14888,51.1,18.9,19.7,36.0,47.6
01067,AL,Henry,17899,48.1,16.6,16.7,31.4,41.3
01069,AL,Houston,108462,44.5,16.0,15.7,29.0,40.5
01071,AL,Jackson,53467,45.9,19.0,16.0,32.5,39.3
01073,AL,Jefferson,662895,42.7,13.7,15.1,28.0,37.4
01075,AL,Lamar,13661,47.7,18.8,16.7,32.3,40.8
01077,AL,Lauderdale,96814,39.6,14.2,12.9,26.7,35.6
